Code;svenska;shortTitle;inclusion;exclusion;criteria;consider;note
-40;Diagnostisk endoskopi;Diagnostic endoscopy;"rhinoscopy; pharyngoscopy; laryngoscopy; tracheoscopy; bronchoscopy; mediastinoscopy; hysteroscopy; colposcopy; laparoscopy; gastroscopy; colonoscopy; sigmoidoscopy; rectoscopy; anoscopy; arthroscopy";"ophtalmoscopy -43; fundoscopy -43; dermoscopy -43";looking inside the body for medical reasons using an endoscope, an instrument used to examine the interior of a hollow organ or cavity of the body;;
-41;Radiologisk diagnostik eller annan bilddiagnostik;Diagnostic radiology/imaging;"x-ray/ultrasound imaging; computed tomography (CT); nuclear medicine; positron emission tomography (PET); magnetic resonance imaging (MRI); angiography; bone/thyroid/heart scintigraphy; skin photo; isotope scanning; thermography";radiotherapy -59;"taking images of anatomic structures through the use of electromagnetic radiation or sound waves; photography/video recording for diagnostic purposes";;
-42;Elektrofysiologisk undersökning;Electrical tracing;"electrocardiogram; exercise electrocardiogram; Holter monitoring; electromyogram (EMG); electroencephalogram (EEG); electronystagmography (ENG)";;a test used to measure the electrical activity of an organ (e.g. heart, nerve, brain, muscle);;
-43;Annan diagnostisk åtgärd;Other diagnostic procedure;"ophtalmoscopy; dermatoscopy; diagnostic laparotomy; dementia test; intelligence test; depression test; anxiety test";"Helicobacter pylori breath test -38; endoscopy -40; biopsy -52;  puncture -52; ";;;
-44;Preventiv immunisering / medicinering;Preventive immunization/medication;"active/passive immunization; prophylactic treatment with drugs e.g. malaria prophylaxis; contraceptive medication; desensitisation";;immunization/desensitisation/preventive medication used to avoid conditions/reactions, not present at the time of prescribing;-50 medication ;If the patient has a condition (e.g. hypertension), use the code for medication -50.  
-45;Observation / hälsofostran / rådgivning / dietrådgivning;Observ/health educat/advice/diet;"advice on healthy behaviour; prevention of health problems; advice on pregnancy and family planning; advice on regarding the use of health services; advice on regarding occupational health/social problems; watchful waiting";therapeutic counselling/listening  -58;prevention of health problems and advice on healthy behaviour;;
-46;Konsultation med person yrkesverksam inom primärvården;Consultation primary care provider;telemedicine consultation with primary care provider;"consultation with specialist -47; referral to another provider -66; referral to physician/specialist/clinic/hospital -67; other referral -68";consultation with another primary care provider, regardless whether the patient is present or not;;Treatment responsibility remains at the original primary care provider.
-47;Specialistkonsultation;Consultation with specialist;telemedicine consultation with specialist;"consultation with primary care provider -46; referral to another provider -66; referral to physician/specialist/clinic/hospital -67; other referral -68";consultation with a specialist, regardless whether the patient is present or not;;Treatment responsibility remains at the original primary care provider.
-48;Utredning av patientens kontaktorsak / -behov;Clarification/discussion rfe/demand;discussion about the need of screening tests;;dialogue between the primary health care provider and the patient about the patient’s reason for encounter or demand, and their mutual assessment of opportunities for screening/treatment/other interventions;observation/health education/advice/diet  -45;
-49;Annan förebyggande åtgärd;Other preventive procedure;"assessment of health conditions and  environmental risks in the community; assessment of health conditions and  environmental risks in the work place; assessment of health conditions and  environmental risks in the school; assessment of health conditions and  environmental risks at home; medication review";"preventive immunization -44; preventive medication -44";;"complete check-up/well-baby exam -30; screening of single health problems/check-up for patient with specific chronic disease(s) -31, medication/prescription/renewal/injection -50";
-50;Medicinering /ordination / förnyelse / injektion;Medication/prescr/renewal/inject;"prescribing of medication; renewal of medication; administration of medication; injection of medication with systemic effect; desensitisation ";"venesection -51; injection of medication with local effect -55; acupuncture -59";;preventive immunization/medication -44;Treatment for a specific condition the patient should be classified here.
-51;Incision / dränage/ sköljning / aspiration;I&d/flush/aspiration ;"incision of abscess; puncture/aspiration of hematoma; puncture/aspiration of sinus; puncture/aspiration of the urinary bladder; puncture/aspiration of joint; puncture/aspiration of cyst; puncture/aspiration of bursa; puncture/aspiration of ganglion; puncture/aspiration of lungs; puncture/aspiration of stomach; venesection; ascitic fluid puncture; lumbar puncture; tympanostomy; paracentesis; thoracentesis; amniocentesis; irrigation of ear/eye";"blood test (-34); urine test (-35); excision -52; catheterization (-53); acupuncture (-59); tympanostomy tube insertion -53; enema -53; prosthetic device -54; removal of foreign body -59";;;
-52;Excision / avlägsnande av vävnad/biopsi / destruktion / revision / kauterisation;Exc/remov/biopsy/destruc/debrid/caut;"excision/removal tissue; biopsy of organ; biopsy of skin; excision/removal of nail; extraction of tooth; amputation; embolectomy; vein stripping; sterilisation; uterine curettage; skin curettage; nerve destruction; vein destruction; surgical debridement; mechanical debridement; chemical debridement; autolytic debridement; maggot therapy; burning cauterization; cold cauterization; chemical cauterization; electric cauterization; laser cauterization";cervical smear -37;;;
-53;Katetrisering / intubering /dilatation;Instrument/catheter/intubate/dilate;"endotracheal intubation; tracheotomy; tympanostomy tube insertion; enema; catheterization; lacrimal dilatation; urethral dilatation; uterine cervical dilatation; artificial rupture of the amniotic membranes; intravenous cannulation";hormone stave implantation-54;;incision/drainage/flushing/aspiration/removal body fluid -51;
-54;Reparation / fixation / suturering / gipsning/ protetik (applikation/borttagning);Repair/fix-suture/cast/prosth device;"suture; surgical glue; strip-plaster; removal of stitch; treatment of distortion;  treatment of luxation; treatment of fracture; orthopaedic prosthetic(s); brace(s); orthose(s); plastic surgery; strapping; sling; hernia support; electronic nerve stimulator; electronic muscle stimulator; hearing aids and device(s); visual aids and device(s); technical aids and device(s); denture(s) implantation; hormone stave implantation; insertion of vaginal pessary/IUD";"amputation -52; removal of foreign body; blood transfusion; transplantation -59";;;Double code with -50, if medication is involved.
-55;Lokal injektion / infiltration;Local injection/infiltration;"epidural injection; skin injection; subcutaneous tissue injection; intramuscular injection; intravenous injection; joint injection; bursa injection; tendon sheath injection; sclerosing injection for varices; nerve block";"acupuncture -59;  blood transfusion -59";forcing of a liquid into skin/soft tissue/muscle/organ for a local effect;"vaccination -44;  injection with systemic effect -50";Double code with -50, if medication is prescribed. 
-56;Förbindning/tryckförband/tamponad;Dressing/pressure/compress/tamponade;"support bandage; wound bandage;  application of an eye pad";strip-plaster wound -54;;"repair/fixation-suture/cast/prosthetic device -54; referral to a  nurse -66";
-57;Fysioterapi / rehabilitering;Physical medicine/rehabilitation;"Chiropractic physiotherapy/ergotherapy/podiatry/strength/physical medicine/rehabilitation; fitness training; muscle exercise; speech therapy; specific disability rehabilitation; using heat/cold/ultrasound/electrical current for therapeutic purposes";;physical treatment involving the health provider;"referral for rehabilitation -68; referral to physician -67; referral to other primary health care provider -66";
-58;Terapeutisk rådgivning / lyssnande;Therapeutic counselling/listening;"motivational interview;  supportive psychotherapy; counselling for a specific disease";observation/health education/advice/diet -45;counselling/listening by the provider with a specific therapeutic aim for a patient to be able to cope with his/her disease, in a more detailed fashion than a simple advice;physical medicine/rehabilitation -57;
-59;Annan terapeutisk åtgärd/ mindre kirurgiskt ingrepp;Other therap proced/minor surg NEC;"cardiopulmonary resuscitation; oxygen therapy; acupuncture; dialysis; delivery/ caesarean section/major surgery";;;;
-60;Resultat av test /åtgärd /;Result test/procedure;;;results from tests or procedures ordered / performed by the health care provider: blood, imaging, electrical tracing or other;-45 health education, advice, if the patient requests information on the underlying problem or consequences of the results;This code cannot be used for process, but only as a reason for encounter 
-61;Resultat av test /åtgärd /sjukjournal föreskriven av annan vårdgivare;Result exam/test/lett oth provider;;;results from tests or procedures ordered /performed by other health care providers;-45 health education, advice, if the patient requests information on the underlying problem or consequences of the results;This code cannot be used for process, but only as a reason for encounter.
-62;Administrativa åtgärder;Administrative procedure;"certificates (e.g. sick leave/driver´s licence/death); questionnaire ; billing issues, health record issues; filling in documents or forms; exams requested by a third party ";;;;
-63;Uppföljningsbesök, ospecificerat;Follow-up encounter unspecified;;;encounter where the patient cannot clearly state the reason for the visit ;;This code cannot be used for process, but only as a reason for encounter.
-64;Besök/problem initierat av vårdgivaren;Encounter/prob initiated by provider;"the patient is told “ to come back”; problem addressed by the provider, that was not on the patient’s agenda";"exams requested by a third party -62; encounter/problem initiated by other than patient / provider -65";;;"This code cannot be used for process, but only as a reason for encounter; If the patient has initiated the contact, code the specific reason for encounter."
-65;Besök/problem initierat av annan än patienten eller vårdgivaren;Enc/prob init by other than pt/prov;the patient states that he/she was sent by somebody else;"exams requested by a third party -62; encounter/problem initiated by provider -64";;If the patient is unable to state the reason for encounter, use the reason stated by the accompanying person.;This code cannot be used for process, but only as a reason for encounter.
-66;Remiss till annan vårdgivare/skötare/terapeut/socialarbetare;Referral to non-MD provider;referral to nurse/physiotherapist/occupational therapist/chiropodist/ orthodontist/chiropractor/optician/midwife/dietician/dentist/home health worker/social worker/psychologist;"referral to physician -67; referral to institution for rehabilitation -68";;If the provider performs the service by himself, consider using codes -50-59.;
-67;Remiss till läkare/specialist/poliklinik/sjukhus/specialsjukvård;Referral to physician/hospital;"Referral to another GP/FP/specialist; referral to disease-specific out-/in-patient clinics";referral to institution for rehabilitation -68;; -32 to -43 if ordering a specific procedure, which will be performed by another physician ;
-68;Annan remiss UNS;Other referral NEC;"referrals to institutions outside the regular health service (patient associations, unemployment services); referral to nursing home/hospice";"referral to other provider/nurse/therapist/social worker -66;referral to physician/specialist/clinic/hospital -67";;;
-69;Annan orsak för kontakt UNS;Other reason for encounter NEC;;;;;This code cannot be used for process, but only as a reason for encounter.
A01;Allmän smärta / flera platser;Pain general/multiple sites;"chronic general pain; multiple aches";;;;
A02;Frossbrytningar;Chills;"rigors; shivers";fever A03;;;
A03;Feber;Fever;pyrexia;"fever with rash A76; heat exhaustion/stroke A88";;;
A04;Allmän svaghet / trötthet;Weakness/tiredness general;"chronic fatigue syndrome; exhaustion; fatigue; lassitude; lethargy; postviral fatigue";"malaise/feeling ill A05; drowsiness A29; heat exhaustion A88; jetlag A88; Sleep disturbance P06";;;
A05;Sjukdomskänsla;Feeling ill;malaise;"senescence/senility P05; cachexia T08; malnutrition T91";;;
A06;Svimning;Fainting/syncope;"blackout; collapse; vasovagal attack";"coma A07; feeling faint/giddiness/dizziness N17";;;
A07;Medvetslöshet;Coma;stupor;syncope A06;;;
A08;Svullnad;Swelling;"lump; mass NOS";"enlarged lymph gland B02; oedema K07; swelling joint L20; swelling breast (breast lump/mass female) X19; swelling breast (breast symptom/complaint male) Y16";;;
A09;Svettningsproblem;Sweating problem;hyperhydrosis, diffuse and localised;sweat gland disease S92;;;
A10;Blödning UNS;Bleeding/haemorrhage NOS;bleeding/haemorrhage not just from one site/organ;;;;
A11;Bröstsmärta UNS;Chest pain NOS;;"pain attributed to heart K01; pain attributed to chest wall L04; pain attributed to respiratory system R01";;;
A13;Bekymmer för läkemedelsreaktion ;Concern/fear medical treatment;concern about/fear of the consequences of drug/medical treatment;"adverse effect of drug A85; complication of medical/surgical treatment A87";;;
A16;Retlighet hos spädbarn;Irritable infant;excessively crying/restless infant;"infantile colic D01; restless child/adult P04";;;
A18;Problem med utseende;Concern about appearance;;"concern about appearance of ears H15; prominent nose R08; concern about appearance in pregnancy W21; concern about appearance of breasts X22";;;
A20;Begäran/diskussion om eutanasi;Euthanasia request/discussion;;;;;
A21;Risk för malignitet;Risk factor for malignancy;"other risk factor for malignancy; past treatment of malignancy; personal/family history of malignancy";;;;
A23;Riskfaktor UNS;Risk factor NOS;"contact with infectious disease; other risk factor for other disease; personal/family history for other disease; previous episode for other disease";"risk factor for malignancy A21; risk factor for cardiovascular disease K22";;;
A25;Rädsla för döden;Fear of death/dying;;;;;
A26;Rädsla för cancer UNS;Fear of cancer, NOS;;if the patient has cancer, code the disease;concern about/fear of cancer not related to a specific chapter in a patient without the disease/until the diagnosis is proven;;
A27;Rädsla för annan sjukdom UNS;Fear of other disease NOS;;"fear of cancer NOS A26; if the patient has the disease, code the disease";concern about/fear of an other disease not related to a specific chapter in a patient without the disease/until the diagnosis is proven;;
A28;Funktionsbegränsning/ handikapp UNS;Limited function/disability NOS;;falls A29;limitation of function/disability not related to a problem in any other chapter;;The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).
A29;Annat allmänt symptom/besvär;General symptom/complaint other;"Clumsiness; drowsiness; falls; somnolence";;;;
A70;Tuberkulos;Tuberculosis;"late effect of tuberculosis; tuberculosis infection of any body site";;"conversion to a positive tuberculin skin test; or demonstration of Mycobacterium tuberculosis on microscopy or culture; or characteristic chest X-ray appearance; or characteristic histological appearance on biopsy";"fever A03; cough R05";
A71;Mässling;Measles;complications of measles;;"prodrome with injected conjunctivae, fever, and cough; plus white specks on a red base in the mucous membranes of the cheek (Koplik's spots), or confluent maculopapular eruption spreading over the face and body, or an atypical exanthem in a partially immune person during an epidemic of measles; or serological evidence of acute measles";"fever A03; other viral exanthem A76; generalized rash S07";
A72;Vattkoppor;Chickenpox;complications of chickenpox;herpes zoster S70;a vesicular exanthem which appears in successive crops, with the lesions evolving rapidly from superficial papules to vesicles and eventually to scabs;"fever A03; other viral exanthem A76; generalized rash S07";
A73;Malaria;Malaria;complications of malaria;;"intermittent fever with chills and rigors in resident of/recent  visitor to a malarial region; or demonstration of malarial parasite forms in the peripheral blood";fever A03;
A74;Röda hund;Rubella;complications of rubella;"roseola infantum A76; congenital rubella A94";"an acute exanthem with enlarged lymph nodes, most often suboccipital and post-auricular, with a macular rash on the face, spreading to the trunk and proximal portions of the limbs; or serological evidence of rubella infection";"fever A03; other viral exanthem A76; generalized rash S07";
A75;Mononukleos;Infectious mononucleosis;"glandular fever; M. Pfeiffer";;"inflammation of the tonsils/pharynx with lymphadenopathy not confined to the anterior cervical nodes, and either atypical lymphocytes on blood smear or splenomegaly; or abnormal heterophile antibody titre or Epstein-Barr virus titre";"fever A03; enlarged lymph nodes B02; acute upper respiratory tract infection R74";
A76;Annan virussjukdom med utslag;Viral exanthem other;"cowpox; erythema infectiosum; fever with rash; fifth disease; hand foot and mouth disease; roseola infantum";"measles A71; chickenpox A72; rubella A74; infectious mononucleosis A75";;;
A77;Annan virussjukdom UNS;Viral disease other/NOS;"adenovirus; Coxsackie diseases; dengue fever; Ross River fever";"other viral exanthem A76; erythema infectiosum [fifth disease] A76; Cowpox A76; influenza R80";;;
A78;Annan infektiös sjukdom UNS;Infectious disease other/NOS;"brucellosis; infection unspecified site; Lyme disease; mycoplasma; Q fever; rickettsial disease; scarlet fever; sexually transmitted disease NOS; thrush NOS; toxoplasmosis";meningococcal meningitis N71;;;
A79;Cancer, ospecificerad;Malignancy NOS;"carcinomatosis (unknown primary); secondary/metastatic neoplasm when primary site is unknown";;histological evidence of malignancy;disease/condition of unspecified nature/site A99;
A80;Skada, ospecificerad;Trauma/injury NOS;road traffic accident;"multiple trauma A81; late effect of trauma A82";;;
A81;Skador, multipla;Multiple trauma/injuries;multiple internal injuries NOS;;;;In this classification 'general' or 'multiple' refers to three or more body sites or systems. Conditions affecting one or two sites should be coded to these sites.
A82;Sen följd av skada;Secondary effect of trauma;"deformity/scarring resulting from previous injury; old amputation";"psychological effects of trauma/acute stress reaction P02; post-traumatic stress disorder P82; wound infection S11; scar of skin S99; effects related to specific body systems: code to system chapter";;;
A84;Läkemedelsförgiftning;Poisoning by medical agent;toxic effect of overdose medical agent;"medication abuse P18; suicide attempt P77; insulin coma T87";toxicity/impairment produced by accidental/deliberate overdose of an agent which has remedial properties in its usual dosage;;
A85;Läkemedelsbiverkan;Adverse effect medical agent;side effect/allergy/anaphylaxis due to medication in proper dose;"poisoning by medical agent A84; reaction to immunization/transfusion A87; Parkinsonism N87; medication abuse P18; contact dermatitis S88; insulin coma T87; analgesic nephropathy U88";symptom/complaint attributed to the proper use of medication, rather than due to disease or injury;;May also code the nature of the adverse effect
A86;Giftverkan av annan substans;Toxic effect non-medicinal substance;"general/local toxic effect carbon monoxide; general/local toxic effect industrial materials; general/local toxic effect lead; general/local toxic effect poisonous animals/insects/plants/snakes";"Poisoning by medical agent A84; Adverse effect medical agent A85; chronic/acute alcohol abuse (chronic alcohol abuse) P15; chronic/acute alcohol abuse (acute alcohol abuse) P16; tobacco abuse P17; medication abuse P18; drug abuse P19; respiratory toxic effects R99; non-toxic bites/sting Insect S12; non-toxic bites Animal/human S13; external chemical burns S14; contact dermatitis S88";;;
A87;Komplikation av kirurgisk/medicinsk behandling;Complication of medical treatment;"anaesthetic shock; immunization/transfusion reaction; post surgical lymphoedema; post-operative infection/haemorrhage/wound disruption; problems due to radiation for diagnosis/treatment";"poisoning by medical agent A84; adverse effects of medication A85; dumping syndrome D99; post gastric surgery syndromes D99; post surgical malabsorption, not elsewhere classified D99; hypoglycaemia T87";an unexpected disorder resulting from surgical/medical/X-ray treatment/other medical management;;
A88;Skadeverkan av fysisk faktor;Adverse effect physical factor;"adverse effect cold/heat/lightning/motion/pressure/radiation; chilblains; drowning; jet lag";"effect of medical radiation A87; snowblindness F79; effect of alcohol (chronic alcohol abuse) P15; effect of alcohol (acute alcohol abuse) P16; effect of tobacco P17; burn due to radiation S14; sunburn S80";;;
A89;Inverkan av implantat/främmande material;Effect prosthetic device;discomfort/handicap/pain/limitation of function resulting from the fitting/wearing of a device for supplying/amending deficiencies: catheter, colostomy, gastrostomy, heart valve, joint replacement, organ transplant, pacemaker;effect denture/false teeth D19;;;
A90;Medfödd missbildning UNS / multipla;Congenital anomaly NOS/multiple;Chromosome abnormality and other systemic congenital anomalies not classified elsewhere.;"congenital rubella A74; anomaly related to a specific body system to be coded to system chapter";;;
A91;Avvikande undersökningsfynd UNS;Abnormal result investigation NOS;"abnormal unexplained electrolyte disorder; abnormal unexplained hyperglycaemia; abnormal unexplained pathology/imaging test";"unexplained abnormal white cells B84; other haematological abnormality B99; vitamin/nutritional deficiency T91; abnormal urine test U98; abnormal cervix smear X86";abnormal result not attributed to known disease;;
A92;Allergi eller allergisk reaktion UNS;Allergy/allergic reaction NOS;"allergic oedema; anaphylactic shock; angioneurotic oedema; food allergy";"allergy resulting from medication A85; allergic rhinitis R97; urticaria S98";;;
A93;Prematur/immatur nyfödd;Premature newborn;;;livebirth under 37 weeks' gestation;;
A94;All annan prenatal sjuklighet;Perinatal morbidity other;;"congenital condition NOS A90; premature newborn A93; failure to thrive T10";morbidity originating in utero or within 7 days of birth;;
A95;Perinatal död;Perinatal mortality;;;death in utero or within 7 days of birth;;
A96;Död;Death;;perinatal death A95;;;
A97;Ingen sjukdom;No disease;no illness/disease dealt with at encounter;health maintenance/preventive medicine A98;;;Sometimes a patient has a reason for encounter which the family doctor cannot interpret as a diagnosis or symptom within the domain of family practice. In these cases the FP/GP will use the code A97, indicating that the patient's reason for encounter refers to something the FP/GP cannot professionally respond to, except by explaining that this is the case.
A98;Hälsovård eller förebyggande av sjukdom;Health maint/preventive medicine;medical procedure/counselling with a preventive purpose, including genetic counseling;no disease A97;;;
A99;Sjukdom/tillstånd av ospecificerad natur/lokalisation;Disease/condition unspecnature/site;"disease carrier NOS; surveillance of ongoing problem NOS";;;;
B02;Lymfkörtel, förstorad/smärtsam;Lymph gland(s) enlarged/painful;"lymphadenopathy with/without pain/tenderness; other symptom/complaint lymph gland(s)";"acute lymphadenitis B70; chronic/non-specific lymphadenitis B71";;;
B04;Symptom från blod/lymfatisk vävnad ;Blood symptom/complaint;;"anaemia B82; pallor S08";;;
B25;Rädsla för AIDS/HIV;Fear of AIDS/HIV;;if the patient has the disease, code the disease;concern about/fear of AIDS/HIV in a patient without the disease/until the diagnosis is proven;;
B26;Rädsla för cancer i blodbildande organ/lymfatisk vävnad;Fear cancer blood/lymph;;if the patient has the disease, code the disease;concern about/fear of blood/lymph cancer in a patient without the disease/until the diagnosis is proven;;
B27;Rädsla för annan sjukdom i blod /lymfatisk vävnad;Fear blood/lymph disease other;;"fear of cancer blood/lymph B26; if the patient has the disease, code the disease";concern about/fear of other blood/lymph disease in a patient without the disease/until the diagnosis is proven;;
B28;Funktionsbegränsning/handikapp betr. blod och de blodbildande organen;Limited function/disability (B);disability due to bleeding disorders;;limitation of function/disability due to a problem of blood/blood forming organs/immune mechanism;;The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).
B29;Annat symptom/besvär i lymf-/immunsystem;Lymph/immune mech sympt/complt other;;splenomegaly B87;;;
B70;Akut lymfkörtelsinflammation;Lymphadenitis acute;abscess of lymph node;"chronic/non-specific/mesenteric lymphadenitis B71; acute lymphangitis S76";one/more inflamed/enlarged and tender/painful lymph nodes in the same anatomical location, of recent onset (less than 6 weeks) and with unknown primary source of infection;enlarged lymph node B02;
B71;Kronisk/ospecifik lymfkörtelsinflammation;Lymphadenitis chronic/non-specific;mesenteric lymphadenitis;"acute lymphadenitis B70; acute lymphangitis S76";"enlarged tender lymph nodes present for more than 6 weeks; or demonstration of enlarged inflamed mesenteric lymph nodes by surgery/sonography/lymphography/otherwise";enlarged lymph node B02;
B72;Hodgkins sjukdom/lymfom;Hodgkin Lymphoma;;;characteristic histologic appearance;"other malignant neoplasm blood/lymph B74; benign/unspecified neoplasm blood/lymph B75";
B73;Leukemi;Leukaemia;all types of leukaemia;;characteristic histologic appearance;benign/unspecified neoplasm blood/lymph B75;
B74;Annan malign tumör i blodbildande organ ;Malignant neoplasm blood other;"multiple myeloma; myeloproliferative disease";Hodgkin's disease/lymphoma B72;;;
B75;Benign/ospecificerad tumör i blodbildande organ;Neoplasm blood benign/unspecified;"benign neoplasm blood; neoplasm blood not specified as benign or malignant/when test is not available; polycythaemia rubra vera";;;;
B76;Mjältruptur, traumatisk;Ruptured spleen traumatic;;;;;
B77;Annan skada på blodbildande organ/lymfatisk vävnad/mjälte ;Injury blood/lymph/spleen other;;ruptured spleen traumatic B76;;;
B78;Ärftlig hemolytisk anemi;Hereditary haemolytic anaemia;"sickle cell trait; sickle-cell anaemia; spherocytosis; thalassaemia";;characteristic findings by test such as haemoglobin electrophoresis, blood smear, or increased osmotic fragility of red cells;other congenital anomaly blood/lymph B79;
B79;Annan anomali i blodbildande organ eller immunsystemet;Congen anomaly blood/lymph other;congenital anaemia;"hereditary haemolytic anaemia B78; haemophilia B83; haemangioma/lymphangioma S81";;;
B80;Järnbristanemi;Iron deficiency anaemia;anaemia due to blood loss;iron deficiency without anaemia T91;"decrease in haemoglobin or haematocrit below levels appropriate for age and sex; plus evidence of blood loss, or microcytic hypochromic red cells by appearance or indices in the absence of thalassaemia, or decreased serum iron and increased iron-binding capacity, or decreased serum ferritin, or reduced haemosiderin in bone marrow, or good response to iron administration";other/unspecified anaemia B82;
B81;Anemi, B12-vitamin-/folsyrebrist;Anaemia vit B12/folate deficiency;"macrocytic anaemia; pernicious anaemia";vit B12 deficiency without anaemia T91;macrocytic anaemia by smear/indices plus decreased vitamin B12/folate level/positive Schilling test;;
B82;Anemi, annan/ospecificerad;Anaemia other/unspecified;"acquired haemolytic anaemia; aplastic anaemia; blood autoimmune disease; megaloblastic anaemia NOS; protein deficiency anaemia";"iron deficiency anaemia B80; vit B12/folate deficiency anaemia B81; anaemia of pregnancy W84";;;
B83;Purpura/koagulationsdefekt/avvikande trombocyter;Purpura/coagulation defect;"abnormal platelets; haemophilia; thrombocytopenia";;;;
B84;Avvikelse av vita blodkroppar, oförklarlig ;Unexplained abnormal white cells;"persistent or unexplained neutrophilia; unexplained agranulocytosis; unexplained eosinophilia; unexplained leukocytosis; unexplained lymphocytosis; unexplained neutropenia";leukaemia B73;;;
B87;Mjältförstoring;Splenomegaly;;hypersplenism B99;;;
B90;HIV-infektion/AIDS;HIV-infection/AIDS;;;HIV-infection proven in serological test in a patient with/without symptoms;;
B99;Annan sjukdom i blod/blodbildande organ/lymfatisk vävnad/mjälte;Blood/lymph/spleen disease other;"complement defect; hypersplenism; immunodeficiency disorder; other/unspecified haematological abnormality; raised ESR; red cell abnormality; sarcoidosis; secondary polycythaemia";"lymphadenitis acute B70; lymphadenitis chronic/non-specific B71; primary polycythemia B75; HIV/AIDS B90; lymphoedema K99";;;
D01;Allmän buksmärta / magkramp;Abdominal pain/cramps general;"abdominal colic; abdominal cramps/discomfort/pain NOS; infant colic";"epigastric ache D02; heartburn D03; other localized abdominal pain D06; dyspepsia/indigestion D07; flatulence/gas/belching D08; biliary colic D98; renal colic U14; dysmenorrhoea X02";;;
D02;Magsmärta / värk i epigastriet;Abdominal pain epigastric;"epigastric discomfort; fullness; stomach ache/pain";"dyspepsia/indigestion D07; flatulence/gas/belching D08";;;
D03;Halsbränna;Heartburn;"acidity; waterbrash";"epigastric pain D02; dyspepsia/indigestion D07; oesophagitis/reflux D84";;;
D04;Smärta i ändtarm / anus;Rectal/anal pain;"anal spasm; proctalgia fugax";impacted faeces D12;;;
